Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
222,30.66,30.66,0.0,46.26,0.56,-132.97,53.3
223,38.75,38.75,0.0,43.68,0.34,-57.97,34.53
224,26.2,26.2,0.0,78.25,0.37,-208.26,64.77
225,42.65,42.65,0.0,40.51,0.45,-41.86,27.0
226,38.09,38.09,0.0,19.52,0.46,-94.16,44.2
227,15.66,15.66,0.0,16.6,0.84,-381.0,86.15
228,44.7,43.92,0.0,8.66,0.48,-19.27,17.39
229,24.21,24.21,0.0,87.62,0.41,-216.59,70.49
230,10.73,10.73,0.0,97.1,0.75,-403.03,92.41
231,37.99,37.99,0.0,98.61,0.45,-47.8,32.99
232,19.61,19.1,0.0,51.2,0.3,-339.42,78.74
233,44.76,44.76,0.0,37.53,0.66,-23.09,23.28
234,27.03,27.03,0.0,53.76,0.88,-198.62,64.02
235,39.51,39.51,0.0,58.46,0.33,-37.14,26.14
236,25.53,25.53,0.0,38.47,0.46,-245.14,67.53
237,17.32,17.32,0.0,83.69,0.59,-337.38,83.58
238,29.19,29.19,0.0,87.4,0.63,-193.12,58.63
239,42.6,42.6,0.0,46.3,0.41,-32.62,25.27
240,27.19,27.19,0.0,38.25,0.5,-152.58,60.22
241,5.18,5.18,0.0,55.39,0.31,-488.54,96.93
242,18.74,18.74,0.0,51.31,0.42,-285.0,80.32
243,39.67,39.67,0.0,97.27,0.05,-34.94,25.72
244,7.17,7.17,0.0,2.5,0.8,-436.62,94.23
245,42.79,42.79,0.0,84.86,0.3,-9.24,14.31
246,30.12,30.12,0.0,79.79,0.78,-164.7,56.2
247,32.22,32.22,0.0,92.7,0.52,-104.53,50.47
248,28.22,28.22,0.0,44.39,0.65,-162.84,61.1
249,34.72,34.72,0.0,16.37,0.33,-120.77,52.12
250,33.3,33.3,0.0,49.62,0.72,-97.25,44.55
251,30.87,30.87,0.0,38.94,0.33,-113.44,51.38
252,6.77,6.77,0.0,56.34,0.59,-478.91,96.44
253,7.19,7.19,0.0,25.95,0.42,-472.95,96.13
254,19.13,19.13,0.0,86.32,0.37,-287.95,80.51
255,10.21,10.21,0.0,95.45,0.52,-412.81,92.94
256,24.9,24.9,0.0,63.59,0.3,-265.12,68.96
257,16.23,16.23,0.0,93.07,0.46,-366.36,85.3
258,14.59,14.59,0.0,63.47,0.38,-408.06,87.69
259,25.42,25.42,0.0,4.06,0.52,-262.41,73.73
260,16.85,16.85,0.0,70.31,0.53,-350.07,84.34
261,44.73,43.95,0.0,29.49,0.45,-29.53,24.65
262,40.78,40.78,0.0,35.91,0.38,-46.7,32.82
263,35.54,35.54,0.0,73.41,0.56,-65.47,40.72
264,43.32,43.32,0.0,85.11,0.42,-0.74,10.47
265,35.1,35.1,0.0,55.06,0.55,-88.72,38.64
266,9.22,9.22,0.0,86.75,0.73,-430.62,93.9
267,22.63,22.63,0.0,1.47,0.84,-294.42,75.87
268,24.57,24.57,0.0,70.92,0.51,-275.45,69.69
269,31.04,31.04,0.0,68.54,0.52,-122.84,52.32
270,14.14,14.14,0.0,24.51,0.57,-419.0,88.3
271,26.69,26.69,0.0,91.48,0.48,-208.86,64.82
272,42.06,42.06,0.0,99.7,0.54,-26.61,19.23
273,9.5,9.23,0.0,64.8,0.5,-417.27,93.19
274,28.99,28.99,0.0,23.61,0.63,-157.3,60.63
275,5.44,5.35,0.0,68.04,0.49,-484.95,96.75
276,14.93,14.93,0.0,92.29,0.64,-399.61,87.21
277,28.19,28.19,0.0,4.21,0.19,-265.68,69.0
278,24.6,24.0,0.0,97.9,0.19,-258.3,68.48
279,7.72,7.48,0.0,30.04,0.33,-440.24,94.42
280,43.64,43.64,0.0,66.52,0.96,-19.32,17.4
281,44.08,44.08,0.0,17.58,0.51,-31.99,30.36
282,19.11,19.11,0.0,58.64,0.51,-354.35,79.66
283,27.85,27.21,0.0,92.41,0.67,-158.42,60.73
284,9.2,9.2,0.0,46.26,0.62,-430.93,93.92
285,40.17,40.17,0.0,22.67,0.3,-89.79,38.77
286,41.15,41.15,0.0,92.52,0.39,-12.15,20.6
287,23.5,23.5,0.0,74.86,0.69,-237.72,72.01
288,41.47,41.47,0.0,62.75,0.31,-17.41,21.95
289,5.41,5.41,0.0,46.1,0.54,-486.05,96.81
290,30.66,30.66,0.0,44.51,0.69,-122.55,52.29
291,37.62,37.62,0.0,72.77,0.36,-55.74,34.2
292,15.67,15.67,0.0,87.28,0.59,-380.7,86.13
293,42.31,42.31,0.0,73.62,0.33,-14.76,16.11
294,21.83,21.83,0.0,12.31,0.45,-276.1,74.66
295,32.64,32.64,0.0,1.76,0.55,-147.25,54.63
296,21.48,21.48,0.0,88.69,0.63,-283.27,75.13
297,30.23,30.23,0.0,1.92,0.56,-155.2,60.45
298,20.12,20.12,0.0,12.24,0.59,-320.57,77.56
299,34.1,33.4,0.0,73.1,0.44,-88.07,43.5
300,14.68,14.68,0.0,21.0,0.43,-405.77,87.56
301,6.51,6.51,0.0,73.11,0.31,-474.63,96.22
302,37.46,37.46,0.0,10.7,0.35,-142.82,49.31
303,12.35,12.35,0.0,18.72,0.57,-370.26,90.58
304,14.72,14.32,0.0,8.79,0.34,-320.4,82.54
305,7.79,7.79,0.0,42.76,0.63,-460.14,95.47
306,28.38,28.38,0.0,23.75,0.24,-209.19,59.93
307,32.73,32.73,0.0,24.38,0.51,-135.82,53.57
308,39.08,39.08,0.0,99.76,0.34,-45.9,27.71
309,44.12,44.12,0.0,16.53,0.54,-48.6,33.12
310,40.78,40.78,0.0,12.81,0.6,-72.94,41.67
311,18.71,18.71,0.0,89.21,0.53,-299.53,81.24
312,40.06,40.06,0.0,9.67,0.51,-102.63,45.15
313,36.46,36.46,0.0,5.83,0.64,-141.67,54.12
314,42.58,42.58,0.0,26.43,0.18,-31.25,30.23
315,12.6,12.6,0.0,33.68,0.44,-364.78,90.27
316,25.51,25.51,0.0,42.24,0.38,-245.63,67.57
317,41.69,41.69,0.0,76.49,0.18,-13.82,15.82
318,27.37,27.37,0.0,1.76,0.36,-252.74,73.06
319,24.28,23.68,0.0,5.45,0.57,-274.92,74.58
320,40.35,40.35,0.0,41.88,0.73,-47.76,32.99
321,27.59,27.59,0.0,85.53,0.36,-181.46,62.64
322,17.49,17.49,0.0,6.7,0.37,-301.71,81.38
323,17.61,17.61,0.0,4.66,0.73,-337.23,83.57
324,16.36,16.36,0.0,96.81,0.38,-362.91,85.1
325,15.6,15.6,0.0,97.55,0.38,-382.45,86.23
326,40.76,40.76,0.0,69.2,0.39,-14.52,21.23
327,18.04,18.04,0.0,88.79,0.47,-318.05,82.4
328,12.11,12.11,0.0,7.69,0.74,-402.01,87.35
329,19.48,19.48,0.0,23.95,0.59,-358.33,79.9
330,23.37,23.37,0.0,34.0,0.4,-241.71,72.29
331,30.49,30.49,0.0,87.88,0.22,-153.51,55.21
332,22.73,22.73,0.0,87.91,0.34,-260.84,73.62
333,20.9,20.9,0.0,99.22,0.67,-316.04,77.27
334,10.52,10.52,0.0,49.77,0.35,-406.97,92.62
335,41.19,41.19,0.0,31.0,0.53,-50.76,33.45
336,32.83,32.83,0.0,36.47,0.24,-131.81,48.22
337,21.17,21.17,0.0,34.03,0.47,-307.86,76.74
338,43.07,42.3,0.0,62.99,0.61,-16.0,16.47
339,37.33,37.33,0.0,92.3,0.32,-62.28,35.15
340,5.0,5.0,0.0,33.01,0.49,-490.53,97.03
341,35.02,35.02,0.0,86.28,0.46,-78.0,42.29
342,5.79,5.79,0.0,45.78,0.33,-491.43,97.08
343,28.35,28.35,0.0,39.99,0.53,-194.93,58.78
344,35.05,35.05,0.0,78.59,0.45,-64.78,40.63
345,14.47,14.47,0.0,71.23,0.52,-410.91,87.85
346,15.46,15.46,0.0,16.87,0.66,-386.21,86.45
347,8.51,8.51,0.0,83.3,0.3,-442.61,94.54
348,37.8,37.8,0.0,39.4,0.51,-86.43,38.36
349,10.65,10.65,0.0,73.93,0.61,-404.6,92.5
350,25.68,25.68,0.0,86.71,0.73,-240.48,67.19
351,36.82,36.82,0.0,27.65,0.75,-105.75,45.5
352,19.07,19.07,0.0,29.19,0.31,-355.57,79.73
353,26.82,26.82,0.0,94.16,0.57,-204.8,64.5
354,19.12,19.12,0.0,62.3,0.34,-288.46,80.54
355,31.46,31.46,0.0,13.65,0.38,-206.94,59.75
356,28.27,28.27,0.0,40.55,0.21,-183.51,57.82
357,17.98,17.5,0.0,44.3,0.58,-305.91,81.65
358,28.4,28.4,0.0,36.03,0.44,-175.35,57.13
359,27.06,27.06,0.0,2.65,0.6,-251.2,72.95
360,5.59,5.49,0.0,62.06,0.86,-483.43,96.67
