Episode,Kick_Speed,NN_start_speed,CRS_speed,Rewards,Stop_Distance
183,24.0,24.0,9.254,-1037.016,-0.087
184,34.857,34.857,24.853,-1099.411,-0.016
185,38.165,38.165,29.323,-1117.293,-0.064
186,22.575,22.575,5.812,-56.133,3.725
187,31.838,31.838,21.949,-1087.797,-0.249
188,10.571,10.571,21.949,-305.712,76.605
189,5.734,5.633,21.949,-469.63,95.96
190,17.076,17.076,21.949,-62.226,40.295
191,25.374,25.374,10.576,-1042.303,-0.161
192,37.652,37.652,28.179,-591.896,0.055
193,6.573,6.573,28.179,-363.852,90.22
194,34.059,34.059,24.414,-1097.657,-0.134
195,17.714,17.714,24.414,-83.858,38.033
196,31.764,31.764,20.859,-1083.437,-0.026
197,9.742,9.742,20.859,-356.749,79.803
198,44.815,44.815,36.664,-583.675,0.077
199,7.597,7.597,36.664,-391.205,86.735
200,37.735,37.735,29.412,-1117.646,-0.276
201,30.944,30.944,19.508,-1078.034,-0.211
202,23.875,23.875,7.314,-1029.257,-0.056
203,25.684,25.684,11.803,-1047.21,-0.169
204,5.057,5.057,11.803,-415.292,93.078
205,36.927,36.927,27.03,-611.637,0.004
206,35.371,35.371,25.678,-1102.711,-0.135
207,11.388,11.388,25.678,-214.06,70.3
208,44.51,44.51,36.495,-608.745,0.011
209,8.339,8.339,36.495,-348.275,84.232
210,6.23,6.23,36.495,-371.319,90.643
211,22.302,22.302,4.849,0,9.062
212,37.444,36.711,28.812,-589.039,0.062
213,21.732,21.732,5.212,0,5.046
214,16.007,16.007,5.212,-115.531,46.547
215,7.057,7.057,5.212,-414.356,88.042
216,37.128,37.128,27.792,-1111.168,-0.294
217,30.607,30.607,19.875,-1079.498,-0.053
218,28.716,28.716,16.908,-1067.634,-0.039
219,9.711,9.711,16.908,-353.732,79.619
220,31.563,30.878,21.696,-1086.785,-0.095
221,21.721,21.721,3.039,0,8.425
222,34.334,34.334,24.43,-1097.722,-0.185
223,29.095,29.095,18.795,-1075.18,-0.053
224,42.745,42.745,34.604,-1138.415,-0.152
225,40.187,40.187,32.242,-554.857,0.156
226,23.858,23.192,11.891,-1047.565,-0.099
227,43.236,43.236,35.823,-586.345,0.07
228,36.759,36.759,28.336,-1113.342,-0.327
229,43.797,43.797,36.184,-607.221,0.015
230,43.078,43.078,34.957,-1139.829,-0.141
231,23.293,23.293,11.288,-1045.151,-0.003
232,20.707,20.707,0.005,-1.123,10.7
233,42.972,42.972,35.229,-546.219,0.18
234,13.569,13.569,35.229,-204.074,64.444
235,44.101,44.101,36.74,-1146.959,-0.071
236,21.533,21.533,5.729,-73.855,3.297
237,21.647,21.647,7.206,-1028.824,-0.054
238,35.104,35.104,25.537,-1102.148,-0.116
239,20.321,20.321,0.011,-7.598,13.698
240,16.31,16.31,0.011,-95.866,39.509
241,33.111,33.111,24.25,-611.051,0.005
242,43.552,43.552,35.776,-1143.104,-0.156
243,28.943,28.943,17.903,-562.01,0.136
244,8.828,8.828,17.903,-280.048,80.003
245,44.681,43.901,36.845,-602.989,0.026
246,38.304,38.304,29.673,-1118.693,-0.082
247,20.28,20.28,0.013,-0.921,10.58
248,10.296,10.296,0.013,-298.919,81.207
249,38.772,38.772,30.616,-594.324,0.048
250,28.026,28.026,17.713,-604.989,0.021
251,13.71,13.71,17.713,-185.796,58.016
252,35.914,35.914,27.61,-1110.44,-0.258
253,43.783,43.783,36.145,-1144.581,-0.211
254,29.378,29.378,18.953,-1075.811,-0.113
255,36.837,36.837,28.446,-1113.783,-0.003
256,41.417,41.417,33.642,-548.084,0.175
257,30.1,30.1,19.701,-606.472,0.017
258,9.366,9.366,19.701,-313.872,77.129
259,14.333,14.333,19.701,-175.485,57.141
260,27.022,27.022,15.864,-1063.456,-0.052
261,15.551,15.551,15.864,-119.395,46.953
262,12.4,12.4,15.864,-180.303,62.55
263,20.998,20.998,6.551,-440.171,0.516
264,24.023,24.023,10.88,-1043.521,-0.059
265,10.434,10.434,10.88,-217.789,70.573
266,13.001,13.001,10.88,-172.853,61.938
267,8.12,8.12,10.88,-337.511,83.586
268,30.032,30.032,21.053,-1084.21,-0.284
269,26.847,26.847,16.345,-1065.38,-0.073
270,37.641,37.641,29.293,-535.603,0.211
271,8.527,8.527,29.293,-310.367,81.923
272,11.602,11.292,29.293,-266.021,69.026
273,39.99,39.99,31.899,-1127.597,-0.121
274,24.033,24.033,11.31,-1045.24,-0.023
275,21.422,21.422,4.835,-40.672,4.227
276,39.554,39.554,31.284,-1125.135,-0.353
277,37.298,37.298,28.817,-1115.266,-0.233
278,9.433,9.433,28.817,-335.365,78.486
279,9.917,9.917,28.817,-273.556,74.484
280,14.606,14.606,28.817,-137.165,53.696
281,20.822,20.822,5.705,-148.841,2.206
282,42.974,42.974,35.021,-571.726,0.109
