Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
197,38.75,0.7,0.7,47.87,15.01,-122.75,52.31
198,47.36,0.63,0.7,84.29,15.07,-22.78,23.21
199,50.71,0.69,0.7,55.11,29.2,-29.13,19.8
200,33.98,0.57,0.7,70.73,22.45,-165.2,56.25
201,39.43,0.8,0.7,57.72,14.78,-95.19,44.32
202,37.36,0.46,0.7,54.51,21.44,-66.67,40.87
203,46.47,0.64,0.7,73.24,18.85,-29.42,24.63
204,28.24,0.7,0.7,57.81,18.18,-233.69,71.72
205,38.74,0.7,0.7,33.57,16.31,-131.46,48.19
206,49.63,0.56,0.7,37.64,17.55,-0.65,10.42
207,36.56,0.73,0.7,75.69,27.66,-190.84,58.44
208,50.55,0.69,0.7,47.8,20.28,-15.51,21.48
209,34.07,0.89,0.7,68.04,14.55,-234.17,66.73
210,21.46,0.64,0.7,53.56,17.1,-401.16,87.3
211,39.99,0.8,0.7,51.66,22.01,-119.45,51.99
212,29.73,0.73,0.7,50.52,19.55,-240.11,72.18
213,40.39,0.65,0.7,61.25,19.6,-100.49,44.92
214,65.77,1.01,0.7,64.82,14.01,-1061.56,-10.24
215,35.19,0.77,0.7,60.53,17.84,-155.81,60.5
216,16.92,0.71,0.7,42.07,19.55,-366.59,90.38
217,34.63,0.54,0.7,69.3,18.73,-102.77,50.29
218,37.78,0.57,0.7,52.02,27.93,-75.22,41.95
219,35.95,0.68,0.7,52.25,20.96,-201.68,59.33
220,45.6,0.77,0.7,51.99,23.72,-81.64,37.75
221,41.57,0.66,0.7,48.45,15.76,-87.64,43.45
222,44.83,0.7,0.7,28.5,18.05,-70.41,36.27
223,41.27,1.01,0.7,62.99,25.69,-185.97,58.03
224,33.73,0.75,0.7,47.33,19.5,-151.97,60.17
225,46.42,0.93,0.7,57.66,20.52,-84.04,43.02
226,47.3,0.43,0.7,8.98,26.45,-36.41,26.0
227,42.15,0.79,0.7,54.58,15.5,-133.92,48.43
228,49.31,0.66,0.7,51.56,11.12,-21.26,17.91
229,47.13,0.67,0.7,40.5,12.85,-59.4,29.91
230,47.55,0.69,0.7,56.89,24.13,-51.42,28.64
231,58.84,0.72,0.7,73.71,23.14,-1042.47,-10.0
232,28.77,0.91,0.7,21.81,18.07,-212.27,70.17
233,56.86,0.44,0.7,40.41,8.9,-1038.32,-10.06
234,41.47,0.74,0.7,44.81,33.67,-146.74,49.69
235,48.55,0.52,0.7,50.92,15.32,-9.22,14.3
236,35.55,0.91,0.7,50.93,27.26,-200.23,64.14
237,31.45,0.76,0.7,70.97,21.61,-256.9,68.38
238,29.33,0.87,0.7,47.59,10.3,-259.07,68.53
239,40.98,0.53,0.7,35.55,21.24,-75.16,41.95
240,25.59,0.82,0.7,50.78,16.17,-299.69,76.21
241,40.42,0.77,0.7,64.54,15.44,-104.11,50.43
242,57.57,0.77,0.7,49.17,19.25,-1036.54,-9.46
243,34.31,0.78,0.7,63.95,20.48,-221.16,65.76
244,59.99,0.6,0.7,49.07,18.3,-1053.7,-10.07
245,48.74,0.68,0.7,56.64,21.47,-16.26,16.55
246,29.72,0.66,0.7,60.15,10.22,-229.59,71.43
247,35.04,0.75,0.7,52.8,22.83,-205.45,59.63
248,46.17,0.53,0.7,38.9,21.2,-19.38,17.42
249,47.62,0.6,0.7,48.17,12.73,-20.71,22.74
250,31.6,0.58,0.7,40.21,17.67,-278.87,69.92
251,46.04,1.13,0.7,44.23,15.98,-79.01,42.42
252,16.38,0.29,0.7,50.84,12.97,-447.63,89.87
253,23.99,0.61,0.7,54.0,17.85,-296.4,81.05
254,33.74,0.82,0.7,47.11,24.73,-208.26,64.77
255,47.64,0.53,0.7,52.92,16.93,-13.1,15.6
256,50.44,0.73,0.7,41.51,21.88,-19.22,22.39
257,47.42,0.66,0.7,37.41,23.92,-11.01,20.28
258,34.99,0.76,0.7,37.5,16.38,-191.68,58.51
259,24.02,0.67,0.7,63.28,21.44,-284.23,80.27
260,35.61,0.58,0.7,79.68,19.99,-135.41,53.53
261,37.57,0.79,0.7,25.25,10.65,-133.23,53.32
262,49.97,0.69,0.7,61.91,15.51,-0.56,10.36
263,29.91,1.1,0.7,67.64,21.58,-336.35,78.55
264,44.24,1.06,0.7,54.9,13.44,-119.11,46.92
265,47.92,0.68,0.7,35.29,14.13,-41.86,27.0
266,33.4,0.84,0.7,49.09,22.93,-209.71,64.88
267,39.59,1.01,0.7,44.37,33.83,-184.0,57.87
268,32.85,0.4,0.7,51.57,15.83,-160.16,55.8
269,34.72,0.73,0.7,65.31,12.19,-165.13,61.29
270,37.01,0.77,0.7,52.99,10.89,-179.92,57.52
271,35.59,0.59,0.7,71.07,8.29,-151.35,55.01
272,50.18,0.64,0.7,27.67,21.16,-0.34,10.22
273,35.8,0.68,0.7,32.52,14.13,-170.64,56.72
274,45.23,0.83,0.7,49.76,24.12,-91.14,38.94
275,57.22,0.81,0.7,42.25,20.31,-211.95,1.65
276,30.54,0.77,0.7,56.44,21.14,-234.26,71.76
277,64.69,1.02,0.7,48.43,18.9,-1058.98,-10.55
278,22.27,0.49,0.7,63.13,22.54,-355.22,84.64
279,36.78,0.73,0.7,51.32,20.37,-136.06,53.59
280,55.82,0.86,0.7,62.27,23.29,0,6.27
281,44.87,0.8,0.7,52.0,15.35,-72.55,41.62
282,64.69,0.77,0.7,66.93,22.53,-1064.66,-10.02
283,44.96,0.79,0.7,67.46,17.88,-80.66,42.62
284,46.44,0.82,0.7,34.67,14.4,-51.89,28.71
285,24.29,0.74,0.7,60.27,20.18,-341.08,78.84
286,40.2,0.84,0.7,40.87,14.17,-85.09,43.15
287,29.17,0.77,0.7,41.75,30.26,-259.49,73.53
288,52.92,0.67,0.7,43.25,14.04,0,9.05
289,37.5,0.62,0.7,10.19,19.61,-121.63,52.2
290,25.92,0.73,0.7,48.33,20.5,-320.57,77.56
291,37.02,0.57,0.7,57.86,22.46,-122.74,52.31
292,45.7,0.28,0.7,51.08,17.32,-1.92,11.15
293,23.84,0.72,0.7,72.56,13.2,-292.74,80.82
294,24.91,0.74,0.7,55.47,19.66,-344.73,79.07
295,32.5,0.58,0.7,39.23,20.16,-184.64,62.9
296,47.97,0.47,0.7,54.45,27.36,-37.01,4.37
297,35.18,0.51,0.7,50.59,12.24,-154.71,60.41
298,37.96,0.55,0.7,36.96,14.84,-131.15,53.12
299,55.41,0.71,0.7,71.33,15.54,-1028.34,-2.95
300,25.25,0.9,0.7,53.39,20.46,-342.21,78.91
301,47.79,0.54,0.7,38.01,18.26,-4.0,12.19
302,50.79,0.83,0.7,62.97,25.08,-31.99,25.15
303,42.6,0.82,0.7,31.83,26.52,-96.78,44.5
304,42.26,0.38,0.7,55.46,18.21,-20.76,22.75
305,31.81,0.9,0.7,59.15,20.25,-221.31,70.83
306,40.56,0.79,0.7,69.05,15.03,-147.09,49.72
307,39.16,0.75,0.7,43.0,15.51,-126.46,52.67
308,43.93,1.05,0.7,48.01,14.56,-110.9,46.05
309,54.46,0.74,0.7,47.38,20.08,0,6.03
310,35.48,0.71,0.7,40.91,21.73,-170.77,61.77
311,47.41,0.62,0.7,58.11,19.67,-13.7,21.01
312,32.22,0.56,0.7,40.62,12.56,-235.86,66.85
313,26.43,0.62,0.7,41.48,12.94,-327.11,77.97
314,32.58,0.87,0.7,52.59,19.79,-214.06,65.22
315,33.53,0.75,0.7,69.58,21.71,-197.41,63.92
316,47.25,0.82,0.7,39.69,10.09,-52.46,28.81
317,32.82,0.8,0.7,52.51,14.96,-207.85,64.74
318,32.17,0.76,0.7,33.06,14.3,-226.15,66.13
319,42.81,0.64,0.7,68.95,26.89,-54.93,34.08
320,25.65,0.67,0.7,54.51,25.79,-291.26,75.66
321,43.3,0.58,0.7,46.61,10.21,-43.88,32.37
322,59.19,0.61,0.7,46.04,10.52,-1046.94,-10.16
323,28.71,0.68,0.7,42.73,23.93,-264.98,73.9
324,38.63,0.88,0.7,43.6,19.55,-129.06,52.92
325,37.91,0.54,0.7,74.03,12.76,-131.31,48.17
326,39.15,0.31,0.7,53.29,14.5,-46.08,32.72
327,35.57,0.79,0.7,38.53,13.6,-197.23,58.97
328,38.96,0.61,0.7,41.31,25.2,-123.88,47.42
329,49.41,0.74,0.7,61.21,14.77,-10.47,20.13
