Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
184,38.23,0.65,0.7,60.37,25.86,-135.16,53.51
185,37.68,0.63,0.7,63.05,14.87,-149.67,54.86
186,38.04,0.54,0.7,40.54,14.46,-135.8,53.57
187,20.46,0.52,0.7,47.98,22.38,-399.33,87.2
188,47.36,0.69,0.7,54.42,32.23,-45.7,27.68
189,20.89,1.06,0.7,43.15,26.44,-357.91,84.8
190,21.38,0.88,0.7,56.16,24.19,-363.63,85.14
191,48.53,0.78,0.7,52.66,16.84,-31.53,30.28
192,43.64,0.96,0.7,44.89,27.06,-131.9,48.23
193,28.17,0.5,0.7,65.28,20.32,-263.72,68.86
194,36.15,0.5,0.7,26.06,21.7,-160.76,55.85
195,41.09,0.38,0.7,36.34,17.91,-44.62,27.49
196,39.06,0.36,0.7,41.25,13.7,-74.19,36.78
197,46.44,0.79,0.7,41.62,26.65,-82.07,37.81
198,15.74,0.59,0.7,63.41,24.81,-413.75,92.99
199,65.83,0.83,0.7,45.4,23.38,-1056.51,-10.44
200,39.92,0.57,0.7,63.52,23.05,-87.23,43.4
201,22.74,0.66,0.7,65.98,14.63,-353.75,84.56
202,34.7,0.55,0.7,48.67,19.49,-180.21,57.54
203,44.73,0.76,0.7,69.74,16.37,-84.31,38.09
204,59.86,0.9,0.7,48.05,9.1,-1039.29,-10.01
205,41.68,0.69,0.7,76.42,20.05,-67.39,40.97
206,55.13,0.73,0.7,49.64,15.59,-113.87,2.62
207,46.74,0.53,0.7,48.06,17.11,-11.15,20.32
208,50.28,0.91,0.7,35.27,23.37,-56.58,29.47
209,43.45,1.0,0.7,57.4,26.84,-119.35,51.98
210,30.45,0.61,0.7,40.6,27.12,-243.45,67.41
211,39.61,0.84,0.7,56.7,14.4,-130.79,53.09
212,36.43,0.74,0.7,56.06,13.71,-155.8,55.41
213,53.52,0.61,0.7,48.38,14.33,-182.76,1.89
214,21.69,0.53,0.7,45.92,21.11,-370.93,85.57
215,42.49,0.64,0.7,35.52,21.63,-89.39,38.72
216,8.89,0.93,0.7,48.13,7.57,-505.84,97.81
217,40.34,0.58,0.7,21.89,8.97,-122.96,47.32
218,35.02,0.68,0.7,40.37,28.59,-161.01,60.95
219,35.22,0.83,0.7,29.2,23.56,-193.65,58.67
220,53.2,0.75,0.7,45.05,12.99,0,7.47
221,32.68,0.62,0.7,65.16,11.98,-188.26,63.19
222,42.02,0.63,0.7,35.52,25.09,-81.23,37.7
223,12.25,0.74,0.7,66.31,20.34,-447.18,94.79
224,19.5,0.55,0.7,35.32,12.6,-401.23,87.31
225,19.29,0.65,0.7,45.76,17.26,-385.71,86.42
226,35.56,0.64,0.7,44.32,21.31,-137.71,53.75
