Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
246,26.64,0.77,0.3,-214.7,70.35
247,21.92,0.71,0.24,-325.52,77.87
248,31.61,0.67,0.2,-194.81,63.72
249,28.27,0.8,0.19,-253.02,73.08
250,33.99,0.79,0.14,-204.05,64.44
251,45.77,0.8,0.27,-10.47,14.74
252,47.11,0.83,0.17,-24.1,23.5
253,26.67,0.55,0.25,-205.54,64.56
254,49.32,0.72,0.12,-24.92,23.68
255,32.31,0.69,0.22,-180.27,57.55
256,41.83,0.6,0.11,-90.64,38.88
257,47.59,0.59,0.15,-2.56,11.48
258,32.39,0.64,0.19,-190.54,58.41
259,36.4,0.53,0.18,-74.22,41.83
260,31.0,0.69,0.19,-161.92,61.02
261,34.08,0.79,0.22,-185.36,57.98
262,43.42,0.59,0.17,-21.0,22.8
263,48.08,0.79,0.21,-14.1,15.91
264,21.78,0.76,0.12,-420.26,88.37
265,46.41,0.62,0.29,-531.48,0.22
266,34.47,0.55,0.22,-117.66,46.77
267,39.31,0.57,0.27,-51.17,28.6
268,32.69,0.67,0.14,-202.65,64.33
269,46.82,0.72,0.22,-6.48,13.26
270,39.77,0.83,0.3,-76.46,37.08
271,38.23,0.79,0.26,-98.51,44.69
272,39.71,0.65,0.24,-38.26,31.45
273,48.81,0.68,0.23,-28.83,4.76
274,51.47,0.65,0.29,-1022.88,-0.06
275,39.45,0.67,0.25,-55.09,29.23
276,42.25,0.68,0.22,-20.77,22.75
277,37.47,0.69,0.22,-89.04,43.61
278,69.38,0.82,0.12,-1018.44,-0.14
279,17.92,0.92,0.2,-437.99,89.35
280,58.54,0.57,0.21,-1032.7,-0.21
281,42.37,0.86,0.27,-35.18,30.92
282,43.59,0.84,0.18,-65.13,35.55
283,35.64,0.65,0.22,-122.02,47.23
284,32.33,0.78,0.15,-245.28,67.54
285,52.33,0.7,0.27,-1017.1,-0.12
286,48.22,0.62,0.11,-20.16,22.61
287,36.0,0.63,0.2,-109.11,45.86
288,37.31,0.78,0.3,-69.65,41.26
289,41.95,0.74,0.13,-97.84,44.62
290,30.21,0.65,0.17,-233.12,66.65
291,35.57,0.6,0.14,-128.47,52.87
292,51.25,0.83,0.28,0,6.03
293,25.16,0.57,0.15,-297.32,76.06
294,22.05,0.75,0.2,-300.44,81.3
295,46.49,0.78,0.29,-6.19,13.14
296,43.32,0.66,0.29,-11.22,14.99
297,45.48,0.76,0.12,-81.79,37.77
298,45.91,0.69,0.24,-10.3,14.68
299,52.36,0.74,0.13,-13.96,15.87
300,30.64,0.77,0.19,-235.17,66.8
301,40.79,0.76,0.29,-56.82,29.5
302,51.86,0.53,0.24,-1017.05,-0.09
303,32.11,0.58,0.21,-140.07,53.97
304,47.61,0.65,0.18,-4.59,12.46
305,35.21,0.47,0.15,-84.19,43.04
306,52.76,0.5,0.15,-1012.68,-0.03
307,45.37,0.67,0.2,-27.94,19.53
308,30.11,0.53,0.25,-116.79,51.72
309,50.07,0.6,0.3,-351.67,0.87
310,45.61,0.71,0.17,-44.39,27.45
311,24.81,0.74,0.17,-325.55,77.87
312,41.52,0.65,0.21,-30.91,24.93
313,38.54,0.73,0.12,-149.31,54.82
314,39.75,0.68,0.27,-58.08,29.7
315,44.79,0.65,0.22,-5.75,12.96
316,23.54,0.78,0.13,-388.62,86.59
317,39.05,0.59,0.23,-30.16,30.03
318,46.66,0.68,0.25,-3.22,11.81
319,61.9,0.71,0.13,-1010.26,-0.04
320,6.01,0.99,0.15,-541.52,99.59
321,50.89,0.61,0.12,-1.07,10.67
322,33.06,0.6,0.22,-134.21,48.46
323,35.88,0.76,0.24,-112.04,51.24
324,25.27,0.85,0.24,-304.5,76.53
325,29.67,0.64,0.27,-156.3,60.54
326,67.34,0.72,0.27,-1043.34,-0.25
327,50.18,0.64,0.22,-4.79,12.55
328,36.62,0.89,0.27,-129.5,47.99
329,36.22,0.78,0.2,-140.97,49.13
330,36.03,0.71,0.1,-171.39,61.82
331,45.17,0.53,0.21,-27.2,19.36
332,29.23,0.74,0.11,-248.95,72.8
333,36.96,0.69,0.28,-74.24,41.83
334,38.99,0.64,0.23,-51.8,33.61
335,27.08,0.79,0.17,-292.14,75.72
336,31.03,0.76,0.22,-151.8,60.16
337,27.38,0.73,0.12,-332.13,78.28
338,34.08,0.47,0.22,-89.39,38.72
339,50.69,0.65,0.24,-5.42,12.82
340,37.25,0.65,0.26,-69.77,36.19
341,32.61,0.71,0.24,-183.73,57.84
342,31.55,0.71,0.17,-205.2,64.53
343,30.71,0.5,0.2,-134.87,53.48
344,53.42,0.7,0.18,-3.36,11.89
345,39.55,0.61,0.11,-148.08,49.82
346,33.61,0.65,0.19,-155.37,55.37
347,43.78,0.53,0.17,-28.45,24.43
348,31.93,0.69,0.1,-263.52,68.85
349,41.43,0.66,0.24,-31.76,25.1
350,41.62,0.97,0.21,-84.36,43.06
351,43.23,0.6,0.26,-15.77,16.41
352,63.03,0.74,0.23,-1028.04,-0.15
353,51.27,0.65,0.14,-10.58,14.77
354,54.37,0.86,0.13,-20.42,17.7
355,32.65,0.73,0.2,-153.96,60.34
356,23.42,0.75,0.26,-298.45,76.13
357,16.98,0.68,0.28,-408.7,87.73
358,36.19,0.81,0.27,-108.51,45.8
359,43.86,0.68,0.24,-22.58,23.17
360,28.68,0.88,0.18,-273.31,74.47
361,55.48,0.83,0.16,0,7.97
362,32.95,0.54,0.21,-125.03,52.53
363,39.95,0.78,0.3,-34.46,30.79
364,33.96,0.7,0.11,-212.02,65.06
365,32.87,0.75,0.2,-163.24,61.13
366,46.01,0.85,0.26,-27.47,19.43
367,33.63,0.88,0.25,-185.43,57.99
368,38.96,0.66,0.23,-65.91,35.66
369,31.82,0.6,0.16,-154.31,60.37
370,43.0,0.63,0.1,-94.62,44.25
371,40.12,0.65,0.1,-125.13,52.54
372,59.44,0.74,0.11,-10.86,14.87
373,65.69,0.78,0.27,-1037.31,-0.4
374,26.11,0.85,0.25,-250.46,72.9
375,30.85,0.87,0.23,-216.31,65.39
376,47.79,0.5,0.14,-25.03,18.85
377,41.55,0.77,0.22,-67.89,35.93
378,37.44,0.54,0.27,-61.16,34.99
379,43.88,0.7,0.14,-76.79,37.12
380,36.92,0.56,0.19,-95.73,44.38
381,35.91,0.67,0.24,-90.96,43.83
382,39.73,0.99,0.23,-142.43,49.27
383,33.98,0.53,0.11,-205.06,59.6
384,39.24,0.72,0.27,-85.32,38.22
385,56.8,0.79,0.29,-1016.61,-0.09
386,37.54,0.73,0.2,-133.79,48.42
387,40.85,0.73,0.11,-130.93,53.1
388,36.36,0.56,0.23,-63.62,40.48
389,55.36,0.78,0.3,-1017.32,-0.03
390,26.35,0.81,0.19,-267.59,74.08
391,34.84,0.62,0.11,-162.46,61.07
392,30.32,0.8,0.27,-157.3,60.63
393,10.91,0.66,0.26,-411.61,92.88
394,32.56,0.49,0.21,-109.42,50.98
395,33.7,0.67,0.19,-143.58,54.3
396,30.25,0.65,0.17,-224.69,66.02
397,57.68,0.76,0.16,-2.13,11.26
398,28.72,0.59,0.11,-236.15,71.9
399,48.17,0.72,0.23,-4.33,12.34
400,49.24,0.52,0.14,-3.37,11.89
401,39.13,0.77,0.22,-66.29,40.82
402,49.08,0.81,0.21,-16.45,16.61
403,38.86,0.72,0.17,-111.81,46.15
404,40.41,0.68,0.18,-75.1,41.94
405,47.75,0.77,0.24,-26.29,23.98
406,45.14,0.79,0.16,-70.57,36.29
407,49.53,0.75,0.3,-10.58,20.17
408,54.94,0.7,0.21,0,5.92
409,38.28,0.79,0.23,-145.44,49.56
410,40.23,0.57,0.2,-91.63,39.0
411,38.43,0.54,0.21,-84.35,38.09
412,25.37,0.75,0.11,-283.63,80.23
413,37.29,0.72,0.3,-65.55,35.61
414,60.61,0.61,0.27,-1036.98,-0.14
415,48.65,0.73,0.2,-26.15,19.12
416,54.39,0.91,0.13,-41.49,26.94
417,38.59,0.68,0.12,-134.05,53.4
418,31.88,0.81,0.16,-225.77,66.1
419,41.72,0.71,0.12,-117.72,46.78
420,17.3,0.69,0.14,-449.0,89.95
421,28.61,0.68,0.15,-210.64,70.05
422,59.88,0.71,0.18,-1014.3,-0.07
423,41.48,0.7,0.24,-46.58,27.83
424,31.75,0.77,0.24,-183.17,57.8
425,33.42,0.68,0.27,-142.15,49.24
426,48.94,0.8,0.24,-16.36,16.58
427,56.67,0.47,0.2,-1032.87,-0.06
428,24.46,0.79,0.24,-310.07,76.89
429,39.98,0.65,0.14,-112.61,46.24
430,58.26,1.0,0.22,-13.97,15.87
431,40.95,0.79,0.16,-129.82,48.02
432,30.81,0.58,0.17,-182.81,57.76
433,30.18,0.94,0.19,-213.06,70.23
434,25.54,0.71,0.22,-254.57,73.19
435,48.12,0.73,0.26,-16.73,21.79
436,33.15,0.75,0.13,-232.15,66.58
437,34.86,0.7,0.17,-139.65,53.93
438,19.56,0.62,0.16,-346.75,84.14
439,52.96,0.71,0.23,-4.02,12.2
440,24.14,0.61,0.19,-287.34,75.4
441,52.6,0.63,0.1,-10.03,20.01
442,19.95,0.57,0.23,-307.0,81.71
443,28.31,0.67,0.23,-200.25,64.15
444,56.29,0.64,0.14,-400.98,0.66
445,23.94,0.8,0.2,-346.97,79.2
446,21.34,0.59,0.12,-321.61,82.62
447,28.01,0.7,0.27,-188.65,63.23
448,43.8,0.57,0.19,-16.1,16.5
449,34.85,0.74,0.29,-96.45,44.46
450,60.39,0.71,0.28,-1029.77,-0.18
451,22.53,0.63,0.28,-299.5,76.2
452,62.47,0.81,0.28,-1027.71,-0.3
453,44.89,0.71,0.15,-41.95,32.06
454,26.75,0.77,0.16,-279.06,74.85
455,51.94,0.59,0.26,-34.46,4.49
456,25.81,0.64,0.18,-239.36,72.12
457,48.33,0.61,0.29,0,5.39
458,41.35,0.53,0.13,-32.14,30.39
459,39.36,0.68,0.2,-84.99,38.18
460,44.13,0.78,0.3,-14.37,15.99
461,36.98,0.66,0.17,-95.47,44.35
462,30.75,0.75,0.2,-188.46,63.21
463,35.7,0.76,0.13,-156.49,60.56
464,29.15,0.63,0.16,-254.49,68.21
465,30.94,0.68,0.18,-197.24,63.91
