Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
1018,58.23,0.58,0.14,-1028.05,-0.19
1019,45.72,0.63,0.25,-1016.94,-0.01
1022,45.08,0.8,0.28,-41.99,4.18
1024,49.3,0.81,0.24,-1014.97,-0.06
1027,58.05,0.75,0.21,-1027.7,-0.07
1028,59.45,0.76,0.22,-1031.53,-0.28
1029,66.37,0.67,0.2,-1045.77,-0.19
1033,55.19,0.69,0.14,-1014.9,-0.14
1045,40.68,0.46,0.18,-77.91,3.21
1048,51.87,0.68,0.18,-1017.22,-0.15
1050,55.72,0.69,0.18,-1024.25,-0.13
1057,63.41,0.62,0.11,-1024.35,-0.12
1060,47.67,0.86,0.26,-129.66,2.42
1069,56.54,0.73,0.15,-1018.64,-0.12
1070,40.02,0.55,0.29,-87.62,3.03
1077,67.65,0.72,0.31,-1054.66,-0.38
1079,44.33,0.48,0.35,-1030.95,-0.21
1082,49.26,0.7,0.18,-1011.92,-0.03
1087,57.43,0.66,0.08,-1009.95,-0.07
1099,63.13,0.7,0.16,-1029.83,-0.1
1103,45.61,0.66,0.27,-1018.67,-0.14
1110,47.02,0.64,0.24,-1019.08,-0.1
1111,57.88,0.68,0.27,-1039.77,-0.22
1118,70.67,0.88,0.18,-1033.27,-0.01
1124,53.37,0.46,0.23,-1042.86,-0.44
1125,50.61,0.5,0.11,-1014.92,-0.08
1129,49.2,0.81,0.26,-1018.39,-0.17
1132,53.62,0.93,0.16,-27.99,4.81
1140,47.27,0.63,0.27,-1022.34,-0.21
1141,46.35,0.55,0.17,-1015.4,-0.0
1142,49.36,0.67,0.32,-1030.42,-0.29
1143,45.26,0.6,0.26,-1017.13,-0.08
1145,41.37,0.74,0.35,-42.74,4.15
1148,48.91,0.44,0.14,-1024.59,-0.03
1155,49.85,0.65,0.24,-1023.39,-0.17
1157,41.84,0.44,0.25,-1019.54,-0.1
1158,40.45,0.35,0.16,-90.83,2.97
1160,49.34,0.9,0.27,-1012.12,-0.01
1164,53.54,0.83,0.18,-1012.46,-0.03
1165,67.49,0.76,0.21,-1040.95,-0.03
1172,53.6,0.35,0.18,-1051.37,-0.26
1174,52.13,0.36,0.2,-1045.94,-0.25
1175,44.37,0.71,0.19,-31.71,4.61
1176,55.65,0.69,0.21,-1028.98,-0.07
1186,46.34,0.79,0.26,-56.79,3.71
1190,53.06,0.88,0.19,-1013.97,-0.1
1193,53.76,0.83,0.23,-1021.99,-0.13
1201,54.43,0.69,0.15,-1018.05,-0.14
1202,53.03,0.57,0.1,-1012.44,-0.07
1203,58.98,0.66,0.16,-1029.26,-0.21
1205,46.48,0.49,0.25,-1030.41,-0.23
1206,58.71,0.7,0.16,-1025.76,-0.11
1208,59.45,0.64,0.14,-1026.42,-0.28
1211,57.18,0.77,0.22,-1029.01,-0.31
1212,57.53,0.81,0.16,-1019.36,-0.2
1213,48.74,0.57,0.28,-1030.82,-0.18
1218,54.79,0.59,0.25,-1036.79,-0.04
1222,51.92,0.75,0.18,-1015.39,-0.05
1228,46.09,0.49,0.16,-1017.33,-0.11
1231,50.9,0.63,0.14,-1011.68,-0.03
1233,54.89,0.58,0.24,-1037.12,-0.19
1234,45.51,0.7,0.22,-1010.18,-0.03
1236,42.19,0.58,0.24,-197.29,1.77
1240,50.05,0.6,0.19,-1023.64,-0.27
1244,56.82,0.82,0.21,-1023.6,-0.06
1245,42.54,0.64,0.25,-46.96,4.0
1250,49.51,0.66,0.23,-1023.03,-0.14
1251,50.56,0.74,0.14,-55.68,3.74
1253,43.85,0.74,0.25,-63.33,3.54
1261,45.56,0.5,0.21,-1022.56,-0.17
1264,59.06,0.81,0.18,-1024.11,-0.18
1265,46.24,0.68,0.25,-1016.1,-0.13
1267,47.08,0.63,0.15,-1008.84,-0.01
1269,49.42,0.36,0.17,-1038.5,-0.18
1274,45.43,0.76,0.22,-112.89,2.64
1281,45.24,0.81,0.24,-1008.51,-0.01
1282,50.67,0.66,0.22,-1023.5,-0.26
1283,45.33,0.72,0.22,-1010.52,-0.05
1290,70.06,0.52,0.22,-1070.73,-0.28
1293,41.29,0.81,0.37,-175.71,1.95
1303,56.74,1.04,0.16,-1008.34,-0.06
1306,53.27,0.58,0.22,-1032.24,-0.06
1308,55.55,0.67,0.17,-1023.72,-0.17
1310,42.98,0.44,0.12,-38.12,4.33
1314,44.12,0.48,0.16,-1012.58,-0.09
1317,38.83,0.51,0.3,-1011.02,-0.03
1318,42.44,0.6,0.27,-1014.06,-0.01
1320,41.18,0.56,0.24,-1015.09,-0.13
1322,51.91,0.54,0.18,-1028.54,-0.14
1328,51.3,0.8,0.16,-1008.49,-0.04
