Episode,Kick_Speed,NN_start_speed,CRS_speed,Rewards,Stop_Distance
179,5.399,5.399,3.378,-392.134,96.808
180,34.256,34.256,3.378,-83.926,43.041
181,7.459,7.222,3.378,-368.062,95.459
182,12.288,12.288,3.378,-372.441,90.655
183,17.049,17.049,3.378,-343.934,84.018
184,28.204,28.204,3.378,-163.819,61.125
185,17.791,17.791,3.378,-311.458,81.975
186,38.409,38.409,3.378,-39.879,31.645
187,32.063,32.063,3.378,-109.48,50.901
188,40.936,40.936,3.378,-22.238,23.163
189,43.862,43.862,-0.002,0,12.775
190,34.063,34.063,-0.002,-61.18,45.157
191,2.096,2.096,-0.002,-418.391,98.246
192,34.214,34.214,-0.002,-97.557,44.711
193,44.008,44.008,0.003,0,12.241
194,27.859,27.214,0.003,-145.031,59.43
195,20.289,20.289,0.003,-257.814,78.412
196,11.655,11.655,0.003,-385.171,91.39
197,8.17,8.17,0.003,-446.76,94.825
198,26.912,26.912,0.003,-201.228,64.292
199,36.408,36.408,0.003,-48.107,38.04
200,16.98,16.98,0.003,-345.68,84.125
201,7.274,7.274,0.003,-377.989,96.019
202,30.405,30.405,0.003,-104.144,55.433
203,21.054,21.054,0.003,-223.378,75.98
204,26.11,26.11,0.003,-163.865,66.187
205,24.369,24.369,0.003,-212.965,70.132
206,30.832,30.832,0.003,-128.498,52.888
207,37.957,37.957,0.003,-38.702,31.429
208,27.605,27.605,0.003,-180.957,62.608
209,6.348,6.348,0.003,-384.663,96.393
210,38.926,38.926,0.003,-30.972,29.944
211,30.912,30.912,0.003,-126.265,52.661
212,20.204,20.204,0.003,-260.186,78.575
213,5.699,5.699,0.003,-398.585,97.165
214,30.202,30.202,0.003,-109.456,55.98
215,34.736,34.736,0.003,-72.801,41.596
216,20.197,20.197,0.003,-260.355,78.587
217,12.74,12.74,0.003,-363.048,90.106
218,25.191,25.191,0.003,-189.586,68.3
219,9.601,9.601,0.003,-423.371,93.543
220,2.301,2.301,0.003,-416.795,98.16
221,20.481,20.481,0.003,-252.626,78.054
222,11.963,11.963,0.003,-378.987,91.034
223,28.293,28.293,0.003,-161.286,60.901
224,43.731,43.731,-0.004,0,11.339
225,24.545,24.545,-0.004,-207.943,69.745
226,37.017,37.017,-0.004,-36.375,36.125
227,36.188,36.188,-0.004,-52.55,38.722
228,2.782,2.782,-0.004,-412.492,97.926
229,4.936,4.936,-0.004,-396.869,97.07
230,18.174,18.174,-0.004,-314.498,82.169
231,5.048,5.048,-0.004,-395.85,97.014
232,18.765,18.765,-0.004,-298.805,81.157
233,23.204,23.204,-0.004,-246.54,72.635
234,25.869,25.869,-0.004,-170.57,66.749
235,19.567,19.567,-0.004,-277.348,79.739
236,29.665,29.665,-0.004,-110.059,56.042
237,8.881,8.881,-0.004,-435.541,94.213
238,11.9,11.9,-0.004,-380.305,91.11
239,36.051,36.051,-0.004,-55.41,39.15
240,22.672,22.672,-0.004,-262.009,73.743
241,11.641,11.641,-0.004,-385.437,91.405
242,20.379,19.848,-0.004,-241.768,77.295
243,6.794,6.794,-0.004,-385.232,96.424
244,34.437,34.437,-0.004,-92.042,44.048
245,10.586,10.586,-0.004,-405.699,92.557
246,30.948,30.948,-0.004,-139.422,53.978
247,9.333,9.333,-0.004,-428.026,93.801
248,4.525,4.525,-0.004,-400.888,97.291
249,15.42,15.42,-0.004,-303.671,86.505
250,42.398,42.398,-0.004,-1.994,16.188
251,31.048,31.048,-0.004,-136.637,53.703
252,5.074,5.074,-0.004,-395.5,96.994
253,10.373,10.373,-0.004,-409.641,92.778
254,10.566,10.566,-0.004,-406.054,92.577
255,3.496,3.496,-0.004,-409.931,97.787
256,7.414,7.414,-0.004,-375.479,95.878
257,35.318,35.318,-0.004,-71.346,41.4
258,44.93,44.93,5.192,-2.106,8.84
259,1.707,1.707,5.192,-420.628,98.367
260,2.022,2.022,5.192,-420.572,98.364
261,35.396,35.396,5.192,-69.556,41.158
262,20.301,19.772,5.192,-243.872,77.443
263,22.899,22.899,5.192,-255.363,73.27
264,43.265,43.265,-0.002,0,14.94
265,10.504,10.504,-0.002,-407.175,92.64
266,2.348,2.348,-0.002,-416.325,98.134
267,13.514,13.514,-0.002,-346.519,89.127
268,9.399,9.399,-0.002,-426.84,93.735
269,32.024,32.024,-0.002,-110.494,51.01
270,20.387,20.387,-0.002,-255.207,78.233
271,22.728,22.728,-0.002,-260.298,73.622
272,41.328,41.328,-0.002,-17.165,21.808
273,44.458,43.68,5.809,-2.384,8.647
274,23.551,23.551,5.809,-236.481,71.899
275,39.443,39.443,5.809,-22.863,28.228
276,2.105,2.105,5.809,-420.26,98.347
277,25.903,25.903,5.809,-169.615,66.669
278,20.911,20.91,5.809,-240.992,77.24
279,39.217,39.217,5.809,-26.294,28.977
280,27.538,27.538,5.809,-182.943,62.776
281,19.36,19.36,5.809,-282.904,80.11
282,44.0,44.0,0.002,0,12.273
283,4.951,4.951,0.002,-396.704,97.061
284,35.225,35.225,0.002,-73.43,41.679
285,38.493,37.752,0.002,-29.569,29.66
286,36.562,36.562,0.002,-45.049,37.558
287,16.625,16.625,0.002,-354.817,84.685
288,25.859,25.859,0.002,-170.844,66.772
289,24.75,24.75,0.002,-187.63,68.143
290,36.012,36.012,0.002,-56.227,39.271
291,5.915,5.915,0.002,-396.114,97.028
292,34.325,33.616,0.002,-82.347,42.841
293,2.529,2.529,0.002,-417.141,98.179
294,15.994,15.994,0.002,-290.233,85.656
295,12.17,12.17,0.002,-374.829,90.793
296,39.996,39.996,0.002,-15.065,26.367
297,41.902,41.902,0.002,-10.648,19.797
298,17.065,16.608,0.002,-330.565,83.186
299,22.678,22.678,0.002,-261.818,73.729
300,28.428,28.428,0.002,-157.519,60.566
301,22.379,21.811,0.002,-255.776,73.299
302,35.233,35.233,0.002,-73.258,41.657
303,36.213,36.213,0.002,-52.048,38.646
