Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
294,43.74,43.74,35.72,61.93,0.34,-584.19,0.08
295,22.51,22.51,2.33,41.63,0.39,0,9.13
296,31.47,31.47,21.42,51.07,0.47,-607.29,0.01
297,26.61,26.61,13.45,72.67,0.44,-1053.79,-0.05
298,27.53,26.89,15.92,30.63,0.66,-1063.69,-0.01
299,24.92,24.92,10.41,58.9,0.56,-1041.63,-0.01
300,8.65,8.65,10.41,13.99,0.43,-341.82,83.85
301,31.97,31.97,22.21,84.76,0.51,-1088.84,-0.08
302,15.78,15.78,22.21,13.69,0.39,-234.93,71.81
303,29.94,29.94,19.3,4.22,0.62,-1077.19,-0.04
304,39.13,39.13,29.88,83.23,0.48,-555.88,0.15
305,9.25,8.99,29.88,42.23,0.51,-354.6,79.67
306,35.22,35.22,25.67,61.81,0.64,-1102.69,-0.14
307,16.01,16.01,25.67,89.48,0.57,-126.01,52.63
308,14.91,14.51,25.67,23.39,0.59,-162.93,56.05
309,42.52,42.52,34.16,83.98,0.4,-1136.62,-0.17
310,38.11,38.11,29.18,88.93,0.57,-1116.74,-0.38
311,26.69,26.69,14.27,26.55,0.36,-1057.09,-0.13
312,38.69,38.69,30.12,77.49,0.36,-572.6,0.11
313,21.51,21.51,3.45,95.68,0.39,0,7.93
314,31.5,31.5,21.14,77.33,0.75,-1084.56,-0.11
315,43.07,43.07,34.63,56.76,0.26,-1138.52,-0.03
316,41.91,41.91,33.08,12.09,0.27,-1132.34,-0.14
317,11.23,11.23,33.08,63.54,0.38,-241.47,72.27
318,25.91,25.91,12.76,97.98,0.79,-604.91,0.02
319,24.55,24.55,11.24,14.37,0.58,-1044.98,-0.09
320,43.03,43.03,34.55,96.63,0.78,-1138.21,-0.11
321,42.36,41.6,34.02,40.07,0.44,-1136.09,-0.01
322,17.27,17.27,34.02,50.4,0.52,-105.73,45.49
323,20.33,20.33,34.02,30.19,0.43,-25.61,23.83
324,13.57,13.57,34.02,35.94,0.72,-206.07,64.6
325,36.7,36.7,27.45,29.63,0.34,-1109.79,-0.01
326,13.61,13.61,27.45,39.85,0.37,-173.08,61.96
327,41.5,41.5,32.73,87.54,0.51,-582.38,0.08
328,7.37,7.37,32.73,46.38,0.37,-390.89,86.72
329,21.94,21.94,3.53,19.91,0.4,0,6.78
330,15.57,15.57,3.53,70.96,0.19,-105.41,50.56
331,14.31,14.31,3.53,83.83,0.64,-194.9,58.77
332,15.75,15.75,3.53,29.9,0.6,-136.34,48.67
333,21.18,21.18,5.04,56.29,0.57,-24.87,4.99
334,41.08,41.08,33.11,70.33,0.36,-610.81,0.01
335,36.59,36.59,27.83,65.34,0.58,-1111.3,-0.33
336,10.58,10.58,27.83,97.78,0.35,-271.0,74.31
337,6.23,6.23,27.83,65.89,0.72,-380.16,91.14
338,18.38,18.38,27.83,88.69,0.5,-39.02,31.57
339,20.65,20.65,27.83,24.59,0.6,-19.92,22.56
340,6.44,6.44,27.83,68.14,0.54,-366.75,90.38
341,5.61,5.61,27.83,86.98,0.56,-391.3,91.76
342,32.16,32.16,21.95,16.78,0.23,-1087.81,-0.24
343,36.6,36.6,27.03,2.78,0.75,-1108.11,-0.01
344,18.43,18.43,27.03,56.79,0.47,-43.7,32.34
345,17.07,17.07,27.03,98.29,0.44,-88.31,43.53
346,29.04,28.38,18.61,65.03,0.47,-594.11,0.05
347,33.61,33.61,23.09,82.18,0.72,-1092.34,-0.14
348,20.31,20.31,23.09,75.21,0.41,-27.83,19.51
349,43.56,42.78,35.84,39.84,0.66,-573.9,0.1
350,27.67,27.67,15.44,58.63,0.67,-1061.75,-0.04
351,39.99,39.99,30.71,95.29,0.43,-1122.84,-0.33
352,24.81,24.81,10.96,35.75,0.5,-1043.85,-0.08
353,33.12,33.12,24.14,73.58,0.41,-1096.54,-0.19
354,19.87,19.87,24.14,37.48,0.46,-19.99,22.57
355,18.06,18.06,24.14,45.45,0.63,-84.96,38.17
356,34.86,34.86,25.91,75.77,0.55,-521.06,0.25
357,24.05,24.05,8.44,37.08,0.93,-1033.74,-0.08
358,22.22,22.22,8.44,43.08,0.12,-93.04,44.07
359,26.64,26.01,14.65,82.68,0.38,-595.38,0.05
360,19.14,19.14,14.65,51.39,0.55,-43.82,32.36
361,41.76,41.76,32.73,67.5,0.27,-1130.91,-0.11
362,40.14,40.14,30.92,12.85,0.21,-1123.69,-0.24
363,40.68,40.68,32.19,14.03,0.57,-1128.75,-0.1
