Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
165,26.39,26.39,2.36,82.38,0.3,0,5.93
166,17.94,17.94,2.39,78.57,0.61,0,6.02
167,40.87,40.87,2.38,96.86,0.53,0,6.0
168,10.5,10.5,2.38,73.04,0.62,0,6.04
169,24.43,24.43,2.36,37.41,0.55,0,5.94
170,42.75,42.75,2.4,99.13,0.61,0,5.98
171,10.86,10.86,2.39,77.39,0.7,0,6.01
172,26.87,26.87,2.38,96.05,0.48,-25.31,4.97
173,40.74,40.74,2.38,59.66,0.42,-31.26,25.0
174,17.04,17.04,2.38,18.17,0.45,0,5.95
175,39.57,39.57,2.38,58.62,0.71,-51.97,28.73
176,44.22,44.22,6.6,86.96,0.36,0,6.92
177,27.15,27.15,2.39,99.44,0.73,0,5.97
178,38.89,38.89,2.39,90.32,0.5,0,5.03
179,28.3,28.3,2.38,86.87,0.64,0,6.0
180,40.36,40.36,2.38,97.11,0.5,0,5.98
181,25.23,25.23,2.4,36.79,0.69,0,5.95
182,30.04,30.04,2.4,6.16,0.53,-219.99,65.67
183,11.66,11.66,2.38,62.36,0.47,0,6.0
184,16.78,16.78,2.36,70.56,0.64,0,5.87
185,39.95,39.95,2.4,1.41,0.32,0,5.99
186,16.29,16.29,2.37,54.43,0.48,0,5.91
187,19.37,19.37,2.39,39.84,0.54,0,5.98
188,12.58,12.58,2.41,68.79,0.44,0,6.0
189,34.44,34.44,2.41,7.96,0.49,-167.07,56.41
190,7.25,7.25,2.38,31.06,0.52,0,5.96
191,7.31,7.14,2.38,57.46,0.63,0,6.03
192,32.15,32.15,2.37,45.35,0.48,0,5.89
193,26.88,26.88,2.39,72.99,0.48,0,6.02
194,18.17,18.17,2.38,53.46,0.4,0,6.02
195,29.08,29.08,2.38,87.86,0.56,0,5.93
196,14.72,14.72,2.36,70.87,0.41,0,5.79
197,38.34,38.34,2.36,34.51,0.55,-95.22,39.43
198,34.18,34.18,2.36,10.13,0.53,-161.56,55.93
199,35.58,35.58,2.39,57.11,0.75,0,5.99
200,25.73,25.73,2.39,47.53,0.79,0,5.95
201,44.52,44.52,2.39,25.17,0.39,-45.41,27.62
202,43.73,43.73,4.67,82.44,0.38,0,9.58
203,35.68,35.68,2.39,76.68,0.44,0,5.99
204,6.19,6.19,2.39,21.31,0.41,0,5.92
205,13.07,13.07,2.38,63.93,0.45,0,6.07
206,11.73,11.73,2.39,93.43,0.39,-28.21,4.8
207,38.74,38.74,2.39,48.72,0.7,-55.77,34.2
208,42.68,42.68,2.39,65.77,0.53,-22.15,18.14
209,13.88,13.88,2.38,5.98,0.3,0,5.96
210,40.18,40.18,2.39,96.09,0.51,0,5.02
211,5.69,5.69,2.38,33.6,0.41,0,5.96
212,23.81,23.81,2.4,82.32,0.79,0,5.89
213,31.38,31.38,2.4,4.09,0.54,-199.97,64.12
214,20.88,20.88,2.39,69.44,0.39,0,5.94
215,24.21,24.21,2.38,70.16,0.37,0,5.88
216,41.48,41.48,2.38,20.5,0.52,-77.66,37.24
217,42.49,42.49,2.38,87.9,0.55,-19.71,17.51
218,32.3,32.3,2.4,67.18,0.51,0,5.99
219,8.93,8.67,2.36,56.3,0.65,0,5.94
